id,gdp2017,qualityOfLife,polution
USA,19362129,179.73,31.19
China,11937562,90.95,88.96
Japan,4884489
Germany,3651871
France,2574807
UK,2565051
India,2439008
Brazil,2080916
Italy,1921139
Canada,1640385
South Korea,1529743
Russia,1469341
Australia,1390150
Spain,1307170
Mexico,1142453
Indonesia,1010937
Turkey,841206
Netherlands,824480
Switzerland,680645
Saudi Arabia,678541
Argentina,619872
Taiwan,571453
Sweden,541889
Poland,509955
Belgium,491672
Thailand,437807
Iran,427666
Austria,409316
Egypt,408045
Nigeria,394818
