id,gdp2017,qualityOfLife,polution
USA,13163870
Japan,4368434
Germany,2896876
China,2644681
UK,
France,
Italy,
Canada,
Spain,
Brazil,
Russia,
India,
South Korea,
Mexico,
Australia,
Netherlands,
Turkey,
Belgium,
Sweden,
Switzerland,
Indonesia,
Saudi Arabia,
Poland,
Norway,
Austria,
Greece,
Denmark,
South Africa,
Ireland,
Iran,
